conversation_id,classification
1532010283962613762,False
1773510414115971353,False
1773708528496112056,False
1773742747725545615,True
1773825042528248293,False
1773862731986141581,False
1774108360503079101,True
1774121008108032426,False
1774150906545869017,True
1774152627250418017,True
1774225465357607109,True
1774440875046719850,False
1774861373991711098,False
1774888024196727131,False
1774929764421153097,False
1775106315511124195,False
1775115398842597613,False
1775139730541154371,False
1775160029714297329,False
1775161091384864947,False
1775162949318885745,False
1775169561123254736,False
1775229283767586986,True
1775255401035886845,False
1775257454948864022,False
1775263215305580576,True
1775275544319492529,False
1775510058966581483,True
1775523335947882767,True
1775534384818307374,True
1775537446433767603,False
1775543836690780215,True
1775605079586005492,False
1775699771971211311,True
1775714941187522628,True
1775759778503172230,True
1775843283744264582,True
1775886160323023245,True
1775888972138303914,True
1775908837587075263,False
1775951099259683174,False
1775952376693682354,False
1775966593828200858,True
1775976768161165563,True
1776006400336105951,True
1776028115380113531,True
1776028282959651112,True
1776033516460884259,False
1776148107769589792,True
1776229459856617494,True
1776239847721631870,True
1776251087575503074,False
1776253219267604759,False
1776266057470365854,False
1776315153182503069,False
1777312995485643246,True
1777317731437539682,False
1777364325679947940,True
1777388483142725971,False
1777461448748290544,True
1777636033720398169,False
1777689422961811702,False
1777697762554892452,False
1777706283581497512,True
1777727129750241290,False
1777734950294307064,False
1777741961023180816,True
1777775579464450185,True
1777788789731008552,False
1777825048432189716,False
1778053731679875081,False
1778075898488508495,False
1778099965429965115,False
1778114694219247656,True
1778134943933047155,False
1778149735578116157,True
1778191245879193978,False
1778278242484380058,False
1778362466386239904,False
1778398196215021617,True
1778403945871769812,True
1778407321309159484,True
1778440384672129403,True
1778504190199017571,False
1778809522334703756,True
1778813858708156816,False
1778852744675160147,False
1778854296810815903,True
1778867886666527162,False
1778951342037270717,False
1779087131089985710,True
1779530762376851736,False
1779614378377052251,True
1779899851062317294,True
1779901426640064908,True
1779923845018763438,True
1779945792289087540,False
1779947601678438884,False
1779950046642831649,True
1779991976785383808,True
1780030853088756046,False
1780053521498542491,False
1780114781258621244,False
1780161720587063631,True
1780191921991794877,False
1780223242914984349,False
1780297446695858533,False
1780341224064360645,False
1780350830966702570,True
1780365674767908929,False
1780494172643860935,False
1780526204186919233,False
1780886218823119290,False
1780890275327447163,False
1780959575987851559,True
1780963315058983397,False
1780965791883506072,False
1781022418066087979,False
1781037355354182015,False
1781061406831353934,True
1781155856551227655,False
1781294258818830502,True
1781307189346340874,True
1781314659187871775,True
1781320147392700477,True
1781321275169804528,False
1781328422968692964,False
1781329918074204209,True
1781351563354604015,True
1781352338688491799,False
1781367289331249590,False
1781375845786923151,True
1781376739890893278,True
1781379165926601157,False
1781389748885430348,False
1781391043411186139,False
1781424523944042965,False
1781433014280720627,False
1781454915942129790,False
1781458418991088107,True
1781491225448550644,False
1781674969614757937,False
1781680941565362590,True
1781687956945743894,True
1781724974295699615,False
1781735678327378060,False
1781747433715781835,False
1781753526177181874,False
1782012121624006901,True
1782030165402697777,True
1782071967161389496,False
1782095738777850345,True
1782141515902357776,True
1782601565863301432,True
1782758547790393610,True
1782788212953399297,False
1783473390050816420,True
1783496114156806590,True
1783513107379474719,True
1783514568792097017,False
1783554595484012718,True
1783556496489681263,True
1783581438622777484,False
1783632684935221735,False
1783655569779515665,False
1783753345326350725,True
1783842008559231046,True
1783865167362556407,True
1783877179434053778,True
1784032429046677970,True
1784271309876170859,False
1785014303705399617,False
1785220049109692705,True
1785256663097749629,False
1785346283479142682,True
1785347038361665976,False
1785352373675704508,False
1785352616576499716,False
1785368663354220966,True
1785369981456093606,False
1785381670968803576,True
1785409221259104528,False
1785409885334618365,False
1785417077978804499,False
1785459192276427144,False
1785510345034866867,False
1785746745227444610,False
1785891058619994186,False
1785966028838600943,False
1786410655248994472,True
1786463274604605677,False
1786624314097172667,False
1786748219143127043,False
1786760222280937976,True
1786783912670494816,True
1786819065203351997,False
1786908755306672375,True
1787493763767837034,False
1787549112574914773,True
1787829896720359779,True
1787860064092422540,True
1788221101543141773,True
1788251315237261439,True
1788277653381800246,False
1788339612085002723,False
1788351970794999940,True
1788364488594309448,True
1788496657207767279,True
1788566875716096004,True
1788604853335232967,False
1788654174344769540,False
1788657704698843314,True
1788668508303245393,False
1788670879053791745,False
1788675118966726949,False
1788694409552216397,False
1788754686515802232,True
1788764024609685696,True
1788775380276441213,True
1788784299413585928,True
1788897457973146105,False
1788925513924231319,False
1788927578461417731,True
1788955403595718894,True
1788971399937474693,False
1788976382770344444,True
1788977609289920602,False
1788992177936212439,True
1788995632910254380,False
1789005880651866252,True
1789022256934379735,False
1789953871537717255,False
1790044694128349275,True
1790092353656500686,True
1790121886564638854,False
1790132489773531630,True
1790156466902442222,False
1790359631555936524,False
1790385887441809713,True
1790437963782148415,True
1790457109668037056,False
1790457175992672446,True
1790466264256704705,True
1790500618777350587,True
1790502747051327903,False
1790611385216540764,True
1790718410243887206,True
1790722470783115280,True
1790747229998760404,False
1790759289922949385,True
1790849850390516032,True
1790860672521191697,True
1790874192662896698,True
1790928471440388161,True
1791127745184895413,False
1791129960670724447,False
1791155057624301837,True
1791164644654215381,False
1791209195045376187,True
1791305152973971771,True
1791469223761375380,True
1791477110718026124,False
1791870007837851997,True
1791956953129779450,True
1792888360157020529,True
1792943370148737112,False
1793021050684379230,True
1793091926926712970,True
1793101646647718082,False
1793111862919434715,True
1793196753979945210,False
1793254879588151502,True
1793268997036691944,False
1793328141483549133,False
1793360365339685357,True
1793621183134588990,False
1793667328057770084,False
1793687157376246143,False
1793727624751071351,False
1793758493788528754,True
1793781026717945937,False
1793824262047891592,False
1793843310001615090,False
1793872065096782158,True
1793973562828784048,False
1793997912608764030,False
1794035379441696906,False
1794294855696282080,True
